,Drink,Tags,Category,IBA,Alcoholic type,Glass type,Inuctions,DrinkThumb,Ingredient1,Ingredient2,Ingredient3,Ingredient4,Ingredient5,Ingredient6,Measure1,Measure2,Measure3,Measure4,Measure5,Measure6,,,
12087,Rum Milk Punch,,Ordinary Drink,,Alcoholic,Collins glass,Shake all ingredients (except nutmeg) with ice and strain into a collins glass. Sprinkle nutmeg on top and serve.,https://www.thecocktaildb.com/images/media/drink/w64lqm1504888810.jpg,Light rum,Milk,Powdered sugar,Nutmeg,,,59 ml,30 ml,5 gr,0.8 gr,,,,,
178333,Raspberry Julep,,Cocktail,,Alcoholic,Cordial glass,"Softly muddle the mint leaves and raspberry syrup in the bottom of the cup. Add crushed ice and Bourbon to the cup and then stir. Top with more ice, garnish with a mint sprig.",https://www.thecocktaildb.com/images/media/drink/hyztmx1598719265.jpg,Bourbon,Raspberry syrup,Mint,,,,59 ml,14.75 ml,8,,,,,,
12091,Rum Screwdriver,,Ordinary Drink,,Alcoholic,Highball glass,"Pour rum into a highball glass over ice cubes. Add orange juice, stir, and serve.",https://www.thecocktaildb.com/images/media/drink/4c85zq1511782093.jpg,Light rum,Orange juice,,,,,44.25 ml,147.5 ml,,,,,,,
17167,Raspberry Cooler,,Ordinary Drink,,Alcoholic,Highball glass,Pour the raspberry vodka and soda into a highball glass almost filled with ice cubes. Stir well.,https://www.thecocktaildb.com/images/media/drink/suqyyx1441254346.jpg,Raspberry vodka,Lemon-lime soda,Ice,,,,59 ml,118 ml,2,,,,,,
12089,Rum Old-fashioned,,Ordinary Drink,,Alcoholic,Old-fashioned glass,"Stir powdered sugar, water, and bitters in an old-fashioned glass. When sugar has dissolved add ice cubes and light rum. Add the twist of lime peel, float 151 proof rum on top, and serve.",https://www.thecocktaildb.com/images/media/drink/otn2011504820649.jpg,Light rum,151 proof rum,Powdered sugar,Bitters,Water,Lime peel,44.25 ml,5 ml,2.5 gr,0.8 ml ,5 ml,1,,,
17214,Russian Spring Punch,"IBA,NewEra",Ordinary Drink,New Era Drinks,Alcoholic,Highball glass,"Pour the ingredients into an highball glass, top with Sparkling wine.",https://www.thecocktaildb.com/images/media/drink/ctt20s1504373488.jpg,Vodka,Creme de Cassis,Sugar Syrup,Lemon juice,,,2.50 ml,15 ml,10 gr,2.5 ml,,,,,
16984,Radioactive Long Island Iced Tea,,Ordinary Drink,,Alcoholic,Collins glass,Pour all ingredients over ice in a very tall glass. Sip cautiously.,https://www.thecocktaildb.com/images/media/drink/rdvqmh1503563512.jpg,Rum,Vodka,Tequila,Gin,Triple sec,Chambord raspberry liqueur,29.5 ml,29.5 ml,29.5 ml,29.5 ml,29.5 ml,29.5 ml,,,
17141,Smut,,Punch / Party Drink,,Alcoholic,Beer mug,Throw it all together and serve real cold.,https://www.thecocktaildb.com/images/media/drink/rx8k8e1504365812.jpg,Red wine,Peach schnapps,Pepsi Cola,Orange juice,,,9.83 ml,25 ml,9.83 ml,9.83 ml,,,,,
17215,Spritz,,Ordinary Drink,New Era Drinks,Alcoholic,Old-fashioned glass,"Build into glass over ice, garnish and serve.",https://www.thecocktaildb.com/images/media/drink/j9evx11504373665.jpg,Prosecco,Campari,Soda Water,,,,60 ml,40 ml,20 ml,,,,,,
12130,Scooter,,Ordinary Drink,,Alcoholic,Cocktail glass,"Shake all ingredients well with cracked ice, strain into a cocktail glass, and serve.",https://www.thecocktaildb.com/images/media/drink/twuptu1483388307.jpg,Brandy,Amaretto,Light cream,,,,29.5 ml,29.5 ml,29.5 ml,,,,,,
13020,Sangria,,Punch / Party Drink,,Alcoholic,Pitcher,Mix all together in a pitcher and refrigerate. Add cloves and cinnamon sticks to taste. Serve in wine glasses.,https://www.thecocktaildb.com/images/media/drink/xrvxpp1441249280.jpg,Red wine,Sugar,Orange juice,Lemon juice,Cloves,Cinnamon,355 ml,15 gr,30 ml,30 ml,1,1,,,
17193,Stinger,"IBA,Classic",Ordinary Drink,Unforgettables,Alcoholic,Cocktail glass,"Pour in a mixing glass with ice, stir and strain into a cocktail glass. May also be served on rocks in a rocks glass.",https://www.thecocktaildb.com/images/media/drink/2ahv791504352433.jpg,Brandy,White Creme de Menthe,,,,,44.25 ml,14.75 ml,,,,,,,
12127,Sazerac,"IBA,Classic",Ordinary Drink,Unforgettables,Alcoholic,Old-fashioned glass,"Rinse a chilled old-fashioned glass with the absinthe, add crushed ice, and set it aside. Stir the remaining ingredients over ice and set it aside. Discard the ice and any excess absinthe from the prepared glass, and strain the drink into the glass. Add the Lemon peel for garnish.",https://www.thecocktaildb.com/images/media/drink/vvpxwy1439907208.jpg,Ricard,Sugar,Peychaud bitters,Water,Bourbon,Lemon peel,5 ml,5 gr,1.6 ml ,5 ml,59 ml,1,,,
12196,Sidecar,"IBA,Classic",Ordinary Drink,Unforgettables,Alcoholic,Cocktail glass,Pour all ingredients into cocktail shaker filled with ice. Shake well and strain into cocktail glass.,https://www.thecocktaildb.com/images/media/drink/x72sik1606854964.jpg,Cognac,Cointreau,Lemon juice,,,,59 ml,14.75 ml,29.5 ml,,,,,,
178349,Snowday,Winter,Cocktail,,Alcoholic,Collins glass,Stir all ingredients with ice. Strain into a chilled rocks glass over fresh ice. Express orange peel over drink and garnish.,https://www.thecocktaildb.com/images/media/drink/4n1ipk1614009624.jpg,Vodka,Amaro Montenegro,Ruby Port,Blood Orange,Bitters,Orange peel,29.5 ml,29.5 ml,29.5 ml,5 ml,0.8 ml,1,,,
178322,Spice 75,Christmas,Cocktail,,Alcoholic,Wine glass,"Gently warm 60g golden caster sugar in a pan with 30ml water and 1 tbsp allspice. Cook gently until the sugar has dissolved, then leave the mixture to cool. Strain through a sieve lined with a coffee filter (or a double layer of kitchen paper).

Pour 60ml of the spiced syrup into a cocktail shaker along with 200ml rum and 90ml Lime juice. Shake with ice and strain between six flute glasses. Top up with 600ml champagne and garnish each with an orange twist.",https://www.thecocktaildb.com/images/media/drink/0108c41576797064.jpg,Sugar,Allspice,Rum,Lime juice,Champagne,Orange spiral,45 gr,15 ml,20 cl,90 ml,60 ml,1,,,
14195,Snowball,Christmas,Ordinary Drink,,Alcoholic,Highball glass,Place one ice cube in the glass and add 44.25 ml of Advocaat. Fill up the glass with Lemonade and decorate with a slice of Lemon. Serve at once.,https://www.thecocktaildb.com/images/media/drink/7ibfs61504735416.jpg,Advocaat,Lemonade,Lemon,Ice,,,44.25 ml,265.5 ml,1,3,,,,,
16985,Shot-gun,,Shot,,Alcoholic,Shot glass,Pour one part Jack Daneils and one part Jim Beam into shot glass then float Wild Turkey on top.,https://www.thecocktaildb.com/images/media/drink/2j1m881503563583.jpg,Jim Beam,Jack Daniels,Wild Turkey,,,,29.5 ml,29.5 ml,29.5 ml,,,,,,
12107,Salty Dog,,Ordinary Drink,,Alcoholic,Highball glass,"Pour all ingredients over ice cubes in a highball glass. Stir well and serve. (Vodka may be substituted for Gin, if preferred.)",https://www.thecocktaildb.com/images/media/drink/4vfge01504890216.jpg,Grapefruit juice,Gin,Salt,,,,147.5 ml,44.25 ml,1.25 ml,,,,,,
12308,Stone Sour,,Ordinary Drink,,Alcoholic,Old-fashioned glass,"Shake all ingredients with ice, strain into a chilled whiskey sour glass, and serve.",https://www.thecocktaildb.com/images/media/drink/vruvtp1472719895.jpg,Apricot brandy,Orange juice,Sweet and sour,,,,29.5 ml,29.5 ml,29.5 ml,,,,,,
13377,Sea breeze,"IBA,ContemporaryClassic",Ordinary Drink,Contemporary Classics,Alcoholic,Highball glass,Build all ingredients in a highball glass filled with ice. Garnish with lime wedge.,https://www.thecocktaildb.com/images/media/drink/7rfuks1504371562.jpg,Vodka,Cranberry juice,Grapefruit juice,,,,44.25 ml,118 ml,29.5 ml,,,,,,
12158,Scotch Sour,,Ordinary Drink,,Alcoholic,Old-fashioned glass,"Shake scotch, juice of lime, and powdered sugar with ice and strain into a whiskey sour glass. Decorate with 1/2 slice Lemon, top with the cherry, and serve.",https://www.thecocktaildb.com/images/media/drink/0dnb6k1504890436.jpg,Scotch,Lime juice,Powdered sugar,Lemon,Cherry,,44.25 ml,10 ml,2.5 gr,2,1,,,,
16990,Sweet Tooth,,Shake,,Alcoholic,Highball glass,"Put 50 ml Godiva Liquour into a glass, add as much or as little milk as you would like.",https://www.thecocktaildb.com/images/media/drink/j6rq6h1503563821.jpg,Godiva liqueur,Milk,,,,,50 ml,250 ml,,,,,,,
12162,Screwdriver,IBA,Ordinary Drink,Unforgettables,Alcoholic,Highball glass,Mix in a highball glass with ice. Garnish and serve.,https://www.thecocktaildb.com/images/media/drink/8xnyke1504352207.jpg,Vodka,Orange juice,,,,,59 ml,118 ml,,,,,,,
12190,Sherry Flip,,Ordinary Drink,,Alcoholic,Nick and Nora glass,Shake all ingredients (except nutmeg) with ice and strain into a whiskey sour glass. Sprinkle nutmeg on top and serve.,https://www.thecocktaildb.com/images/media/drink/qrryvq1478820428.jpg,Sherry,Light cream,Powdered sugar,Egg,Nutmeg,,44.25 ml ,10 ml,1,1,0.8 gr ,,,,
12256,Sol Y Sombra,,Ordinary Drink,,Alcoholic,Balloon glass,"Shake ingredients with ice, strain into a brandy snifter, and serve. (The English translation of the name of this drink is ""Sun and Shade"", and after sampling this drink, you'll understand why. Thanks, Kirby.)",https://www.thecocktaildb.com/images/media/drink/3gz2vw1503425983.jpg,Brandy,Anisette,,,,,44.25 ml,44.25 ml,,,,,,,
16273,Shark Attack,,Cocktail,,Alcoholic,Pitcher,Mix Lemonade and water according to instructions on back of can. If the instructions say to add 4 1/3 cans of water do so. Mix into pitcher. Add 1 1/2 cup of Vodka (Absolut). Mix well. Pour into glass of crushed ice. Excellent!,https://www.thecocktaildb.com/images/media/drink/uv96zr1504793256.jpg,Lemonade,Water,Vodka,,,,30 ml,90 ml,45 ml,,,,,,
15184,San Francisco,,Ordinary Drink,,Alcoholic,Highball glass,"Take a tall glass and put in a few ice cubes, fill the vodka over it and fill with juice then the ""creme"", to end fill in the grenadine but very carefully at the side of the glass so it will lay down in the bottom. garnish with orange and strawberry.",https://www.thecocktaildb.com/images/media/drink/szmj2d1504889961.jpg,Vodka,Creme de Banane,Grenadine,Orange juice,,,20 ml,20 ml,10 ml,10 ml,,,,,
15226,Space Odyssey,,Ordinary Drink,,Alcoholic,Highball glass,Fill glass with ice and add shots of Bacardi and Malibu. Add splash of Pineapple juice and top with orange juice. Add grenadine for color and garnish with cherries.,https://www.thecocktaildb.com/images/media/drink/vxtjbx1504817842.jpg,151 proof rum,Malibu rum,Pineapple juice,Orange juice,Grenadine,Cherry,25 ml ,25 ml,25 ml,45 ml,15 ml,1,,,
12188,Sherry Eggnog,,Ordinary Drink,,Alcoholic,Collins glass,"Shake sherry, powdered sugar, and egg with ice and strain into a collins glass. Fill with milk and stir. Sprinkle nutmeg on top and serve.",https://www.thecocktaildb.com/images/media/drink/xwrpsv1478820541.jpg,Sherry,Powdered sugar,Egg,Milk,Nutmeg,,59 ml ,5 gr,1,177 ml,0.8 gr,,,,
12724,Sweet Bananas,,Shake,,Non alcoholic,Highball glass,"Place all ingredients in the blender jar - cover and whiz on medium speed until well blended. Pour in one tall, 2 medium or 3 small glasses and drink up.",https://www.thecocktaildb.com/images/media/drink/sxpcj71487603345.jpg,Milk,Banana,Honey,,,,60 ml,1,15 ml,,,,,,
12388,Thriller,,Ordinary Drink,,Alcoholic,Cocktail glass,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.",https://www.thecocktaildb.com/images/media/drink/rvuswq1461867714.jpg,Scotch,Wine,Orange juice,,,,44.25 ml,29.5 ml ,29.5 ml,,,,,,
178350,The Galah,Dark,Cocktail,,Alcoholic,Collins glass,Mix together the alcoholic portions and top with Pineapple and Lime juice.,https://www.thecocktaildb.com/images/media/drink/sy7y6r1614775067.jpg,Dark rum,Campari,Creme de Banane,Pineapple juice,Lime juice,,25 ml,25 ml,12.5 ml,20 ml ,20 ml ,,,,
12856,Tia-Maria,,Homemade Liqueur,,Alcoholic,Collins glass,"Boil water, sugar and coffe for 10 mins and let cool. Add rum and vanilla. Put in clean bottle(s) and leave for 1 week before using.",https://www.thecocktaildb.com/images/media/drink/sih81u1504367097.jpg,Water,Brown sugar,Coffee,Rum,Vanilla extract,,30 ml,22.5 gr,20 ml,30 ml,20 ml,,,,
17828,Tipperary,,Cocktail,,Alcoholic,Nick and Nora glass,"Stir over ice. Strain into chilled glass. Cut a wide swath of orange peel, and express the orange oils over the drink. Discard orange twist.",https://www.thecocktaildb.com/images/media/drink/b522ek1521761610.jpg,Irish whiskey,Vermouth,Green Chartreuse,,,,59 ml,29.5 ml,14.75 ml,,,,,,
15006,Turkeyball,,Shot,,Alcoholic,Shot glass,Shake with ice and strain into a shot glass.,https://www.thecocktaildb.com/images/media/drink/rxurpr1441554292.jpg,Wild Turkey,Amaretto,Pineapple juice,,,,29.5 ml,22.14 ml,15 ml ,,,,,,
15639,Texas Sling,,Shake,,Alcoholic,Wine glass,"Blend with Ice until smooth. Serve in a tulip glass, top with whip cream.",https://www.thecocktaildb.com/images/media/drink/ypl13s1504890158.jpg,Kahlua,Irish cream,Amaretto,151 proof rum,Cream,,14.75 ml,14.75 ml,14.75 ml,14.75 ml ,29.5 ml,,,,
12402,Tom Collins,,Ordinary Drink,,Alcoholic,Collins glass,"In a shaker half-filled with ice cubes, combine the Gin, Lemon juice, and sugar. Shake well. Strain into a collins glass alomst filled with ice cubes. Add the club soda. Stir and garnish with the cherry and the orange slice.",https://www.thecocktaildb.com/images/media/drink/7cll921606854636.jpg,Gin,Lemon juice,Sugar,Club soda,Maraschino cherry,Orange,59 ml,29.5 ml,5 gr,88.5 ml,1,1,,,
12726,Tomato Tang,,Other / Unknown,,Non alcoholic,Highball glass,"Place all ingredients in the blender jar - cover and whiz on medium speed until well blended. Pour in one tall, 2 medium or 3 small glasses and drink up.",https://www.thecocktaildb.com/images/media/drink/869qr81487603278.jpg,Tomato Juice,Lemon juice,Celery salt,,,,60 ml,30 ml,0.8 ml,,,,,,
14860,Talos Coffee,,Coffee / Tea,,Alcoholic,Balloon glass,Add your GM and then add your coffee.,https://www.thecocktaildb.com/images/media/drink/rswqpy1441246518.jpg,Grand Marnier,Coffee,,,,,88.5 ml,29.5 ml,,,,,,,
15515,Tennesee Mud,,Coffee / Tea,,Alcoholic,Coffee mug,"Mix Coffee, Jack Daniels and Amaretto. Add Cream on top.",https://www.thecocktaildb.com/images/media/drink/txruqv1441245770.jpg,Coffee,Jack Daniels,Amaretto,Whipped cream,,,236 ml,118 ml,118 ml,50 ml,,,,,
12362,Tequila Fizz,,Ordinary Drink,,Alcoholic,Collins glass,"Shake all ingredients (except Ginger ale) with ice and strain into a collins glass over ice cubes. Fill with Ginger ale, stir, and serve.",https://www.thecocktaildb.com/images/media/drink/2bcase1504889637.jpg,Tequila,Lemon juice,Grenadine,Egg white,Ginger ale,,59 ml,15 ml,22.14 ml,1,29.5 ml,,,,
12370,Tequila Sour,,Ordinary Drink,,Alcoholic,Old-fashioned glass,"Shake tequila, juice of Lemon, and powdered sugar with ice and strain into a whiskey sour glass. Add the half-slice of Lemon, top with the cherry, and serve.",https://www.thecocktaildb.com/images/media/drink/ek0mlq1504820601.jpg,Tequila,Lemon juice ,Powdered sugar,Lemon,Cherry,,59 ml,25 ml,5 gr,2,1,,,,
12786,Thai Iced Tea,,Coffee / Tea,,Non alcoholic,Highball glass,"Combine Thai tea (i.e., the powder), boiling water, and sweetened condensed milk, stir until blended. Pour into 2 tall glasses filled with ice cubes. Garnish with mint leaves. Makes 2 servings.",https://www.thecocktaildb.com/images/media/drink/trvwpu1441245568.jpg,Tea,Water,Condensed milk,Ice,Mint,,7.5 ml,15 ml,10 ml,3,1,,,,
17247,The Last Word,,Cocktail,,Alcoholic,Cocktail glass,Shake with ice and strain into a cocktail glass.,https://www.thecocktaildb.com/images/media/drink/91oule1513702624.jpg,Green Chartreuse,Maraschino liqueur,Lime juice,Gin,,,29.5 ml,29.5 ml,29.5 ml,29.5 ml,,,,,
12418,Turf Cocktail,,Ordinary Drink,,Alcoholic,Cocktail glass,Stir all ingredients (except orange peel) with ice and strain into a cocktail glass. Add the twist of orange peel and serve.,https://www.thecocktaildb.com/images/media/drink/utypqq1441554367.jpg,Vermouth,Gin,Anis,Bitters,Orange peel,,29.5 ml,29.5 ml,1.25 ml,1.6 ml,1,,,,
17824,The Laverstoke,,Cocktail,,Alcoholic,Balloon glass,"1) Squeeze two lime wedges into a balloon glass then add the cordial, Bombay Sapphire and MARTINI Rosso Vermouth, swirl to mix.

2) Fully fill the glass with cubed ice and stir to chill.

3) Top with Fever-Tree Ginger Ale and gently stir again to combine.

4) Garnish with a snapped Ginger slice and an awoken mint sprig.",https://www.thecocktaildb.com/images/media/drink/6xfj5t1517748412.jpg,Gin,Elderflower cordial,Rosso Vermouth,Tonic Water,Lime,Ginger,50 ml,15 ml,15 ml,75 ml,2,1,,,
178307,Tequila Slammer,Drunk,Shot,,Alcoholic,Hurricane glass,Mix carefully to avoid releasing the dissolved CO2.,https://www.thecocktaildb.com/images/media/drink/43uhr51551451311.jpg,Tequila,7-Up,,,,,25 ml,25 ml,,,,,,,
13621,Tequila Sunrise,"IBA,ContemporaryClassic",Cocktail,Contemporary Classics,Alcoholic,Highball glass,"Pour the tequila and orange juice into glass over ice. Add the grenadine, which will sink to the bottom. Stir gently to create the sunrise effect. Garnish and serve.",https://www.thecocktaildb.com/images/media/drink/quqyqp1480879103.jpg,Tequila,Orange juice,Grenadine,,, ,59 ml,118 ml,7.38 ml,,,,,,
178330,The Philosopher,,Cocktail,,Alcoholic,Margarita glass,"Add all the spirits in a shaker (best to use Hendricks Gin) as well as the orange bitters and Lemon juice. Strain into a Margarita glass, top with Prosecco.",https://www.thecocktaildb.com/images/media/drink/sp8hkp1596017787.jpg,Gin,Melon Liqueur,Orange bitters,Lemon juice,Prosecco,,25 ml,25 ml, 0.8 ml,0.8 ml,5 ml,,,,
12420,Tuxedo Cocktail,"IBA,Classic",Ordinary Drink,Unforgettables,Alcoholic,Cocktail glass,Stir all ingredients with ice and strain into a cocktail glass. Garnish with a cherry and a twist of Lemon zest.,https://www.thecocktaildb.com/images/media/drink/4u0nbl1504352551.jpg,Vermouth,Gin,Maraschino liqueur,Anis,Orange bitters,Cherry,44.25 ml,44.25 ml,1.25 ml,1.25 ml,1.6 ml,1,,,
14602,Tequila Surprise,,Shot,,Alcoholic,Shot glass,Fill shot glass with Tequila. Add drops of Tobasco sauce.,https://www.thecocktaildb.com/images/media/drink/8189p51504735581.jpg,Tequila,Tabasco sauce,,,,,25  ml,0.4 ml ,,,,,,,
17826,The Jimmy Conway,,Cocktail,,Alcoholic,Old-fashioned glass,"Fill glass with ice
Pour in The Irishman and Disaronno
Fill to the top with Cranberry juice
Garnish with a slice of Lemon…Enjoy!",https://www.thecocktaildb.com/images/media/drink/wbcvyo1535794478.jpg,Irish whiskey,Amaretto,Cranberry juice,,,,50 ml,50 ml,118 ml,,,,,,
15178,Texas Rattlesnake,,Shot,,Alcoholic,Highball glass,"Mix all ingredients and Shake well. Sweet at first, with a BITE at the end...",https://www.thecocktaildb.com/images/media/drink/rtohqp1504889750.jpg,Yukon Jack,Cherry brandy,Southern Comfort,Sweet and sour,,,29.5 ml,14.75 ml,29.5 ml,5 ml,,,,,
17218,Vesper,"IBA,NewEra",Cocktail,New Era Drinks,Alcoholic,Cocktail glass,"Shake over ice until well chilled, then strain into a deep goblet and garnish with a thin slice of Lemon peel.",https://www.thecocktaildb.com/images/media/drink/mtdxpa1504374514.jpg,Gin,Vodka,Lillet Blanc,,,,60 ml,15 ml,0.750 ml,,,,,,
12450,Victor,,Ordinary Drink,,Alcoholic,Cocktail glass,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",https://www.thecocktaildb.com/images/media/drink/voapgc1492976416.jpg,Gin,Vermouth,Brandy,,,,44.25 ml,14.75 ml,14.75 ml,,,,,,
17217,Vampiro,"IBA,NewEra",Ordinary Drink,New Era Drinks,Alcoholic,Old-fashioned glass,"Vampiros may be made in a tall glass or an old fashioned glass. Bartenders may first ""rim"" the glass with Kosher Salt, which is done by placing a layer of Kosher Salt on a chopping board, moistening the glass' rim with Lime juice or water, and then placing the upside down glass rim onto the Kosher Salt, so that the salt sticks to the moistened rim. The second step is to fill half the glass with ice and add one or two shooter glasses full of high quality Tequila. The next stage is to add the flavouring elements. This is done by squeezing a fresh lime into the glass, adding a few grains of salt, adding citrus-flavoured soda pop, until the glass is 4/5 full, and then adding spicy Viuda de Sanchez (or orange juice, Lime juice and pico de gallo). The final step is to stir the ingredients so that the flavours are properly blended.",https://www.thecocktaildb.com/images/media/drink/yfhn371504374246.jpg,Tequila,Tomato Juice,Orange juice,Lime juice,Sugar Syrup,Salt,60 ml,30 ml,30 ml,15 ml,0.8 ml,1,,,
12444,Vesuvio,,Ordinary Drink,,Alcoholic,Old-fashioned glass,"Shake all ingredients with ice, strain into an old-fashioned glass over ice cubes, and serve.",https://www.thecocktaildb.com/images/media/drink/26cq601492976203.jpg,Light rum,Vermouth,Lemon juice ,Powdered sugar,Egg white,,29.5 ml,14.75 ml,25 ml ,5 gr,1,,,,
12446,Veteran,,Ordinary Drink,,Alcoholic,Old-fashioned glass,Pour the rum and cherry brandy into an old-fashioned glass almost filled with ice cubes. Stir well.,https://www.thecocktaildb.com/images/media/drink/iwml9t1492976255.jpg,Dark rum,Cherry brandy,,,,,59 ml,14.75 ml,,,,,,,
12436,Van Vleet,,Ordinary Drink,,Alcoholic,Old-fashioned glass,"Shake all ingredients with ice, strain into an old-fashioned glass over ice cubes, and serve.",https://www.thecocktaildb.com/images/media/drink/fgq2bl1492975771.jpg,Light rum,Maple syrup,Lemon juice,,,,88.5 ml,29.5 ml,29.5 ml,,,,,,
16967,Vodka Fizz,,Cocktail,,Alcoholic,Wine glass,"Blend all ingredients, save nutmeg. Pour into large white wine glass and sprinkle nutmeg on top.",https://www.thecocktaildb.com/images/media/drink/xwxyux1441254243.jpg,Vodka,Half-and-half,Limeade,Ice,Nutmeg,,59 ml,59 ml,59 ml,0.8 gr,1,,,,
178363,Vodka Lemon,,Cocktail,,Alcoholic,Highball glass,"The vodka Lemon is prepared directly in a highball glass or in a large tumbler: put 6-7 ice cubes in the glass, pour the vodka, Lemonade and mix with a bar spoon. Finally decorate with a slice of Lemon and, if you prefer, add a few mint leaves. Your vodka Lemon is ready to be served.",https://www.thecocktaildb.com/images/media/drink/mql55h1643820632.jpg,Vodka,Lemon juice,Lemon peel,Ice,,,50 ml,70 ml,1,3,,,,,
178362,Vodka Slime,,Cocktail,,Alcoholic,Highball glass,"Fill glass with ice. Add vodka, 7-Up then finish with the Lime juice.",https://www.thecocktaildb.com/images/media/drink/apex461643588115.jpg,Sprite,Lime juice,Vodka,,,,30 ml,12.5 ml,37.5 ml,,,,,,
178364,Vodka Tonic,,Cocktail,,Alcoholic,Highball glass,"Wash and cut 1 wedge and 1 slice of lime or Lemon.
Fill a tumbler with fresh ice.
Pour the desired dose of vodka and top up with the tonic.
Squeeze the lime wedge into the glass and decorate with the slice.
That's all, very simple: it's just the recipe for happiness!",https://www.thecocktaildb.com/images/media/drink/9koz3f1643821062.jpg,Vodka,Tonic Water,Lemon peel,,,,40 ml,100 ml,1,,,,,,
14167,Vodka Martini,,Ordinary Drink,,Alcoholic,Cocktail glass,"Shake the vodka and vermouth together with a number of ice cubes, strain into a cocktail glass, add the olive and serve.",https://www.thecocktaildb.com/images/media/drink/qyxrqw1439906528.jpg,Vodka,Vermouth,Olive,,,,44.25 ml,22.14 ml,1,,,,,,
15403,Vodka Russian,,Ordinary Drink,,Alcoholic,Collins glass,Mix it as a ordinary drink .,https://www.thecocktaildb.com/images/media/drink/rpttur1454515129.jpg,Vodka,Schweppes Russchian,Lime,,,,59 ml,147.5 ml,1,,,,,,
12442,Vermouth Cassis,,Ordinary Drink,,Alcoholic,Highball glass,"Stir vermouth and creme de cassis in a highball glass with ice cubes. Fill with carbonated water, stir again, and serve.",https://www.thecocktaildb.com/images/media/drink/tswpxx1441554674.jpg,Vermouth,Creme de Cassis,Carbonated water,,,,44.25 ml,22.14 ml,25 ml,,,,,,
12452,Victory Collins,,Ordinary Drink,,Alcoholic,Collins glass,Shake all ingredients (except orange slice) with ice and strain into a collins glass over ice cubes. Add the slice of orange and serve.,https://www.thecocktaildb.com/images/media/drink/lx0lvs1492976619.jpg,Vodka,Lemon juice,Grape juice,Powdered sugar,Orange,,44.25 ml,88.5 ml,88.5 ml ,5 gr,1,,,,
12460,Vodka And Tonic,,Ordinary Drink,,Alcoholic,Highball glass,"Pour vodka into a highball glass over ice cubes. Fill with tonic water, stir, and serve.",https://www.thecocktaildb.com/images/media/drink/lmj2yt1504820500.jpg,Vodka,Tonic Water,,,,,59 ml,240 ml,,,,,,,
12434,Valencia Cocktail,,Ordinary Drink,,Alcoholic,Cocktail glass,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",https://www.thecocktaildb.com/images/media/drink/9myuc11492975640.jpg,Apricot brandy,Orange juice,Orange bitters,,,,44.25 ml,15 ml ,1.6 ml,,,,,,
12518,Whisky Mac,,Ordinary Drink,,Alcoholic,Collins glass,Pour both of the ingredients into a wine goblet with no ice.,https://www.thecocktaildb.com/images/media/drink/yvvwys1461867858.jpg,Scotch,Green Ginger Wine,,,,,44.25 ml,29.5 ml ,,,,,,,
17194,White Lady,"IBA,Classic",Ordinary Drink,Unforgettables,Alcoholic,Cocktail glass,Add all ingredients into cocktail shaker filled with ice. Shake well and strain into large cocktail glass.,https://www.thecocktaildb.com/images/media/drink/jofsaz1504352991.jpg,Gin,Triple sec,Lemon juice,,,,40 ml,30 ml,25 ml,,,,,,
13058,Wine Punch,,Punch / Party Drink,,Alcoholic,Collins glass,Combine all of the ingredients and pour over a block of ice.,https://www.thecocktaildb.com/images/media/drink/txustu1473344310.jpg,Red wine,Lemon,Orange juice,Orange,Pineapple juice,,750 ml,2,30 ml,3,30 ml,,,,
13056,Wine Cooler,,Punch / Party Drink,,Optional alcohol,Collins glass,Mix wine and soft drink. Pour into glass. Add ice.,https://www.thecocktaildb.com/images/media/drink/yutxtv1473344210.jpg,Red wine,Lemon-lime soda,Ice,,,,59 ml ,147.5 ml,3,,,,,,
178347,Winter Rita,Winter,Beer,,Alcoholic,Highball glass,"Salt rim. Combine all ingredients, shake with ice, and strain over fresh ice.⠀",https://www.thecocktaildb.com/images/media/drink/fwpd0v1614006733.jpg,Tequila,Campari,Lime juice,Orange juice,Rosemary Syrup,Salt,50 ml,7.38 ml,22.14 ml,14.75 ml,14.75 ml,0.8 ml,,,
11004,Whiskey Sour,"IBA,Classic,Alcoholic,ContemporaryClassic",Ordinary Drink,Unforgettables,Alcoholic,Old-fashioned glass,"Shake with ice. Strain into chilled glass, garnish and serve. If served 'On the rocks', strain ingredients into old-fashioned glass filled with ice.",https://www.thecocktaildb.com/images/media/drink/hbkfsh1589574990.jpg,Blended whiskey,Lemon juice ,Powdered sugar,Cherry,Lemon,,59 ml,1.6 ml ,2.5 gr,1,2,,,,
12528,White Russian,,Ordinary Drink,,Alcoholic,Old-fashioned glass,Pour vodka and coffee liqueur over ice cubes in an old-fashioned glass. Fill with light cream and serve.,https://www.thecocktaildb.com/images/media/drink/vsrupw1472405732.jpg,Vodka,Coffee liqueur,Light cream,,,,59 ml,29.5 ml,7.38 ml,,,,,,
